factor_sample	program	sample	condition
9_neoadjuvant/W006	noise	W006	neoadjuvant
1_untreated/W004	noise	W004	untreated
4_neoadjuvant/W001	noise	W001	neoadjuvant
3_neoadjuvant/W050	noise	W050	neoadjuvant
9_neoadjuvant/W180	noise	W180	neoadjuvant
5_neoadjuvant/W944	noise	W944	neoadjuvant
5_untreated/W005	noise	W005	untreated
4_neoadjuvant/W002	noise	W002	neoadjuvant
5_neoadjuvant/W184	noise	W184	neoadjuvant
6_neoadjuvant/W050	noise	W050	neoadjuvant
9_untreated/W241	noise	W241	untreated
9_untreated/W008	noise	W008	untreated
4_untreated/W011	noise	W011	untreated
5_untreated/W340	noise	W340	untreated
3_untreated/W040	noise	W040	untreated
6_neoadjuvant/W002	noise	W002	neoadjuvant
10_untreated/W040	noise	W040	untreated
9_neoadjuvant/W370	noise	W370	neoadjuvant
3_untreated/W004	noise	W004	untreated
10_untreated/W005	noise	W005	untreated
1_untreated/W011	noise	W011	untreated
1_untreated/W012	noise	W012	untreated
10_untreated/W241	noise	W241	untreated
6_untreated/W008	noise	W008	untreated
8_untreated/W612	noise	W612	untreated
9_neoadjuvant/W002	noise	W002	neoadjuvant
5_untreated/W040	noise	W040	untreated
9_neoadjuvant/W441	noise	W441	neoadjuvant
3_untreated/W612	noise	W612	untreated
2_neoadjuvant/W184	noise	W184	neoadjuvant
5_untreated/W007	noise	W007	untreated
4_untreated/W012	noise	W012	untreated
5_untreated/W241	noise	W241	untreated
6_neoadjuvant/W180	noise	W180	neoadjuvant
3_neoadjuvant/W003	noise	W003	neoadjuvant
3_untreated/W005	noise	W005	untreated
3_untreated/W011	noise	W011	untreated
